City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Laguna,US,64.08,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
5,Hwange,ZW,60.01,moderate rain,-18.3693,26.5019,Hwange Colliery Guest House
8,Castro,BR,54.73,clear sky,-24.7911,-50.0119,CHACARA BAILLY
12,Kruisfontein,ZA,69.58,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
17,Busselton,AU,68.59,clear sky,-33.65,115.3333,Observatory Guest House
22,Ponta Do Sol,PT,62.01,clear sky,32.6667,-17.1,Hotel do Campo
23,Hobart,AU,58.01,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
25,San Jose,US,63.0,broken clouds,37.3394,-121.895,The Westin San Jose
29,Bredasdorp,ZA,60.51,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
31,Katsuura,JP,64.04,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
33,Waipawa,NZ,68.94,light rain,-41.4122,175.5153,Tora Coastal Walk
34,Bria,CF,69.55,overcast clouds,6.5423,21.9863,WFP Guesthouse
35,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
45,Salinas,US,58.06,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
48,Hermanus,ZA,59.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
54,Bluff,NZ,55.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
63,New Norfolk,AU,57.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,Itanhem,BR,66.45,clear sky,-17.1664,-40.33,Hotel Resende
69,Shiloh,US,53.73,overcast clouds,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
72,Dolores,AR,60.19,moderate rain,-36.3132,-57.6792,Apart Hotel - Arianos
74,Mar Del Plata,AR,60.87,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
78,Aliwal North,ZA,53.49,broken clouds,-30.6937,26.7114,Queens Terrace B&B
82,Gat,IL,56.39,clear sky,31.61,34.7642,OlusHome
88,Astoria,US,51.48,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
95,Mataura,NZ,55.47,light rain,-46.1927,168.8643,Ellie's Villa
99,Mayo,US,52.11,clear sky,38.8876,-76.5119,Resorts Resource Group International
102,Longonjo,AO,63.5,broken clouds,-12.9067,15.2533,
107,Komsomolskiy,UZ,59.72,overcast clouds,40.4272,71.7189,Ikathouse
108,Camacha,PT,56.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
109,Sekoma,BW,55.74,clear sky,-24.4,23.8833,
