City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sorland,NO,67.667,12.6934,43.5,82,100,4.9,overcast clouds
1,Laguna,US,38.421,-121.4238,64.08,57,100,18.41,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,17.58,93,10,4.81,clear sky
3,Pringsewu,ID,-5.3582,104.9744,80.28,80,100,0.63,overcast clouds
4,Vestmannaeyjar,IS,63.4427,-20.2734,46.51,89,100,7.85,overcast clouds
5,Hwange,ZW,-18.3693,26.5019,60.01,93,98,4.05,moderate rain
6,Port Alfred,ZA,-33.5906,26.891,72.86,48,99,8.43,overcast clouds
7,Thompson,CA,55.7435,-97.8558,24.93,92,100,8.55,overcast clouds
8,Castro,BR,-24.7911,-50.0119,54.73,87,0,3.53,clear sky
9,Kapaa,US,22.0752,-159.319,80.58,93,100,17.27,light rain
10,Thai Binh,VN,20.45,106.3333,77.02,73,76,6.35,broken clouds
11,Puerto Narino,CO,-3.7703,-70.3831,71.51,99,100,1.28,overcast clouds
12,Kruisfontein,ZA,-34.0033,24.7314,69.58,32,100,8.68,overcast clouds
13,Albany,US,42.6001,-73.9662,38.91,67,13,3.58,few clouds
14,Port Elizabeth,ZA,-33.918,25.5701,71.31,53,100,1.99,overcast clouds
15,Miri,MY,4.4148,114.0089,87.33,64,81,2.86,broken clouds
16,Jinxiang,CN,27.4327,120.6062,70.03,69,6,5.5,clear sky
17,Busselton,AU,-33.65,115.3333,68.59,50,1,12.26,clear sky
18,Saint-Pierre,RE,-21.3393,55.4781,75.9,86,75,5.75,broken clouds
19,Longyearbyen,SJ,78.2186,15.6401,28.24,69,20,12.66,few clouds
20,Nikolskoye,RU,59.7035,30.7861,40.89,97,20,5.99,few clouds
21,Pedernales,DO,18.0384,-71.744,78.46,78,98,3.33,overcast clouds
22,Ponta Do Sol,PT,32.6667,-17.1,62.01,60,9,4.14,clear sky
23,Hobart,AU,-42.8794,147.3294,58.01,54,75,10.36,broken clouds
24,Hammerfest,NO,70.6634,23.6821,39.65,87,75,1.14,broken clouds
25,San Jose,US,37.3394,-121.895,63.0,58,75,16.11,broken clouds
26,Kiruna,SE,67.8557,20.2251,29.32,80,48,8.05,scattered clouds
27,Sawakin,SD,19.1059,37.3321,77.25,70,31,7.63,scattered clouds
28,Aklavik,CA,68.2191,-135.0107,15.94,92,89,8.1,overcast clouds
29,Bredasdorp,ZA,-34.5322,20.0403,60.51,84,75,3.33,broken clouds
30,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,65,4.18,broken clouds
31,Katsuura,JP,35.1333,140.3,64.04,70,100,5.01,overcast clouds
32,Sokoni,TZ,-6.4333,39.55,79.63,83,100,10.78,light rain
33,Waipawa,NZ,-41.4122,175.5153,68.94,64,20,11.25,light rain
34,Bria,CF,6.5423,21.9863,69.55,92,100,1.32,overcast clouds
35,Pisco,PE,-13.7,-76.2167,66.25,82,0,10.36,clear sky
36,Susehri,TR,40.1644,38.0867,45.3,71,3,1.68,clear sky
37,Khatanga,RU,71.9667,102.5,6.35,90,67,4.65,broken clouds
38,Coahuayana,MX,18.7333,-103.6833,71.42,84,0,1.52,clear sky
39,Koutiala,ML,12.3917,-5.4642,84.54,9,72,3.89,broken clouds
40,Roebourne,AU,-20.7833,117.1333,91.89,25,4,17.07,clear sky
41,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,13.8,broken clouds
42,Salihorsk,BY,52.7876,27.5415,43.45,97,100,9.6,overcast clouds
43,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,40,3.44,scattered clouds
44,Iqaluit,CA,63.7506,-68.5145,16.7,78,100,5.01,overcast clouds
45,Salinas,US,36.6777,-121.6555,58.06,83,0,3.33,clear sky
46,Avarua,CK,-21.2078,-159.775,78.85,57,40,11.5,scattered clouds
47,Mandiana,GN,10.6333,-8.6833,81.88,52,100,5.55,overcast clouds
48,Hermanus,ZA,-34.4187,19.2345,59.81,95,68,1.66,broken clouds
49,Nanortalik,GL,60.1432,-45.2371,31.46,69,100,11.77,overcast clouds
50,Tura,IN,25.5198,90.2201,80.87,47,21,2.06,few clouds
51,Vaini,TO,-21.2,-175.2,82.56,83,75,11.5,broken clouds
52,Linguere,SN,15.3953,-15.1193,76.96,34,8,8.79,clear sky
53,Butaritari,KI,3.0707,172.7902,81.72,79,73,13.69,light rain
54,Bluff,NZ,-46.6,168.3333,55.8,91,100,11.34,light rain
55,Wau,SS,7.7029,27.9953,77.76,65,89,7.49,overcast clouds
56,Rikitea,PF,-23.1203,-134.9692,78.84,72,64,19.19,broken clouds
57,Drexel Heights,US,32.1412,-111.0284,81.72,14,0,9.22,clear sky
58,Champerico,GT,14.3,-91.9167,83.3,67,4,2.53,clear sky
59,Cap Malheureux,MU,-19.9842,57.6142,76.46,90,99,9.64,overcast clouds
60,Mananara,MG,-16.1667,49.7667,74.75,95,100,4.65,light rain
61,Barrow,US,71.2906,-156.7887,8.62,78,0,12.66,clear sky
62,Liverpool,GB,53.4106,-2.9779,47.28,68,100,5.75,overcast clouds
63,New Norfolk,AU,-42.7826,147.0587,57.65,48,86,1.99,overcast clouds
64,Nizhnevartovsk,RU,60.9344,76.5531,23.02,68,0,8.99,clear sky
65,Puerto Ayora,EC,-0.7393,-90.3518,73.38,94,81,5.3,broken clouds
66,Rura,IN,26.4833,79.9,92.19,28,26,9.95,scattered clouds
67,Itanhem,BR,-17.1664,-40.33,66.45,89,0,2.21,clear sky
68,Cherskiy,RU,68.75,161.3,29.48,81,64,1.34,broken clouds
69,Shiloh,US,38.5614,-89.8973,53.73,85,100,10.36,overcast clouds
70,San Policarpo,PH,12.1791,125.5072,83.05,82,82,9.28,broken clouds
71,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,16.11,scattered clouds
72,Dolores,AR,-36.3132,-57.6792,60.19,79,99,4.54,moderate rain
73,Wageningen,NL,51.9667,5.6667,47.86,86,100,3.44,overcast clouds
