City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karpogory,64.0019,44.4451,34.29,99,100,5.28,RU,2022-04-19 23:53:17
1,Castro,-24.7911,-50.0119,57.51,86,2,2.82,BR,2022-04-19 23:43:22
2,Bubaque,11.2833,-15.8333,75.85,77,41,14.88,GW,2022-04-19 23:53:19
3,Longview,32.5007,-94.7405,71.85,41,85,3.0,US,2022-04-19 23:53:20
4,Taoudenni,22.6783,-3.9836,81.7,10,86,3.65,ML,2022-04-19 23:53:20
5,Hami,42.8,93.45,61.79,28,99,7.63,CN,2022-04-19 23:53:21
6,Bethel,41.3712,-73.414,47.93,59,48,3.0,US,2022-04-19 23:43:37
7,Takoradi,4.8845,-1.7554,79.95,85,100,5.73,GH,2022-04-19 23:46:46
8,Geraldton,-28.7667,114.6,63.01,51,33,9.22,AU,2022-04-19 23:48:42
9,Amapa,1.0,-52.0,73.71,98,100,2.3,BR,2022-04-19 23:53:22
10,Tasiilaq,65.6145,-37.6368,33.96,88,100,11.07,GL,2022-04-19 23:46:52
11,Klaksvik,62.2266,-6.589,43.72,74,9,10.51,FO,2022-04-19 23:53:23
12,Bluff,-46.6,168.3333,61.81,68,100,6.62,NZ,2022-04-19 23:53:24
13,Mataura,-46.1927,168.8643,60.48,52,100,4.09,NZ,2022-04-19 23:43:34
14,Honningsvag,70.9821,25.9704,35.35,93,97,1.14,NO,2022-04-19 23:53:24
15,Hilo,19.7297,-155.09,83.28,67,40,8.05,US,2022-04-19 23:43:34
16,Flinders,-34.5833,150.8552,70.18,59,11,8.99,AU,2022-04-19 23:48:03
17,Luanda,-8.8368,13.2343,74.7,92,100,8.52,AO,2022-04-19 23:53:12
18,Hals,56.9961,10.3081,44.56,57,87,6.08,DK,2022-04-19 23:53:29
19,San Martin,-33.081,-68.4681,68.54,45,0,8.48,AR,2022-04-19 23:53:30
20,Katsuura,35.1333,140.3,55.42,82,99,10.65,JP,2022-04-19 23:53:30
21,Port Alfred,-33.5906,26.891,67.17,88,50,1.99,ZA,2022-04-19 23:53:30
22,Lata,40.1629,-8.3327,50.07,71,9,10.92,PT,2022-04-19 23:53:31
23,Hobart,-42.8794,147.3294,60.66,62,40,14.97,AU,2022-04-19 23:43:52
24,Busselton,-33.65,115.3333,56.43,76,2,10.71,AU,2022-04-19 23:53:32
25,Watrous,51.6668,-105.4679,28.18,93,100,23.02,CA,2022-04-19 23:53:33
26,Ahmadpur,18.7,76.9333,85.86,19,55,5.61,IN,2022-04-19 23:53:34
27,Albany,42.6001,-73.9662,41.41,70,53,10.85,US,2022-04-19 23:48:05
28,Fairbanks,64.8378,-147.7164,46.31,27,0,11.5,US,2022-04-19 23:48:18
29,Port Augusta,-32.5,137.7667,62.92,66,26,5.77,AU,2022-04-19 23:53:36
30,Isangel,-19.55,169.2667,83.59,70,8,8.37,VU,2022-04-19 23:52:47
31,Ushuaia,-54.8,-68.3,47.86,66,40,9.22,AR,2022-04-19 23:43:42
32,Beringovskiy,63.05,179.3167,31.21,99,100,5.1,RU,2022-04-19 23:53:37
33,Kodiak,57.79,-152.4072,39.02,72,100,11.83,US,2022-04-19 23:53:37
34,Chancay,-11.5714,-77.2672,66.38,88,54,6.46,PE,2022-04-19 23:51:54
35,Chuy,-33.6971,-53.4616,63.43,89,6,8.48,UY,2022-04-19 23:53:38
36,Ribeira Grande,38.5167,-28.7,60.66,70,37,9.55,PT,2022-04-19 23:44:43
37,Rikitea,-23.1203,-134.9692,77.83,75,39,17.02,PF,2022-04-19 23:53:40
38,Cape Town,-33.9258,18.4232,70.12,59,0,4.61,ZA,2022-04-19 23:41:40
39,Xining,36.6167,101.7667,40.66,22,1,1.74,CN,2022-04-19 23:53:41
40,Barrow,71.2906,-156.7887,12.22,79,0,12.66,US,2022-04-19 23:43:02
41,East London,-33.0153,27.9116,67.42,84,59,9.93,ZA,2022-04-19 23:53:42
42,Oxelosund,58.6706,17.1015,39.58,75,0,3.44,SE,2022-04-19 23:53:42
43,Nanortalik,60.1432,-45.2371,24.82,59,2,29.64,GL,2022-04-19 23:48:32
44,Bredasdorp,-34.5322,20.0403,60.06,87,2,4.65,ZA,2022-04-19 23:53:12
45,Bengkulu,-3.8004,102.2655,76.23,89,100,5.79,ID,2022-04-19 23:54:44
46,Vostok,46.4856,135.8833,55.6,46,66,9.1,RU,2022-04-19 23:54:45
47,Kutum,14.2,24.6667,79.16,13,72,14.94,SD,2022-04-19 23:54:45
48,Makakilo City,21.3469,-158.0858,79.12,66,100,23.02,US,2022-04-19 23:42:56
49,Hirara,24.8,125.2833,71.87,64,75,6.91,JP,2022-04-19 23:54:47
50,Jamestown,42.097,-79.2353,36.99,66,100,24.16,US,2022-04-19 23:44:45
51,Hithadhoo,-0.6,73.0833,82.85,70,91,4.36,MV,2022-04-19 23:54:50
52,Cidreira,-30.1811,-50.2056,67.93,82,0,9.71,BR,2022-04-19 23:54:50
53,Sal Rei,16.1833,-22.9167,69.49,83,86,15.99,CV,2022-04-19 23:54:51
54,Hermanus,-34.4187,19.2345,64.8,65,20,8.34,ZA,2022-04-19 23:54:53
55,Avarua,-21.2078,-159.775,80.65,78,40,8.05,CK,2022-04-19 23:45:03
56,Eldorado,-23.7869,-54.2836,64.08,84,0,2.77,BR,2022-04-19 23:53:21
57,Gbarnga,6.9956,-9.4722,74.25,94,85,1.66,LR,2022-04-19 23:54:54
58,Esna,25.2934,32.554,73.72,22,0,16.87,EG,2022-04-19 23:54:56
59,Havoysund,70.9963,24.6622,35.83,97,89,9.8,NO,2022-04-19 23:54:56
60,Dikson,73.5069,80.5464,8.96,95,100,4.45,RU,2022-04-19 23:48:17
61,Parana,-31.732,-60.5238,65.55,93,98,7.7,AR,2022-04-19 23:54:57
62,Kapaa,22.0752,-159.319,80.58,74,0,19.57,US,2022-04-19 23:45:01
63,Yumen,40.2833,97.2,56.28,10,99,15.37,CN,2022-04-19 23:54:59
64,Tiksi,71.6872,128.8694,6.53,98,99,5.68,RU,2022-04-19 23:48:44
65,Camacupa,-12.0167,17.4833,60.39,97,95,3.83,AO,2022-04-19 23:55:01
66,Lebu,-37.6167,-73.65,54.0,95,100,2.06,CL,2022-04-19 23:55:02
67,Saskylakh,71.9167,114.0833,3.36,94,86,4.85,RU,2022-04-19 23:55:03
